,UPC
961,0840021208159
962,0080694962280
963,0889143491377
964,0192410044375
965,0192410044382
966,0192410044429
967,0192410044436
968,0659641560482
969,0193172277384
970,0883121981072
971,0888392404633
972,0768686249976
973,0768686229046
974,0888341579351
975,0888341579375
976,0888341579399
977,0659641734579
978,0888259773285
979,0888259778877
980,0888259813905
981,0889645466927
982,0889645467016
983,0889645467023
984,0889645467030
985,0889645467054
986,0889645467061
987,0889645467078
988,0889645467085
989,0889645467092
990,0715757406028
991,0821301119839
992,0193573054188
993,0193172003501
994,0193172003525
995,0821299027819
996,0842852179370
997,0842852179318
998,0842852179325
999,0842852179363
1000,0842852171305
1001,0842852197770
1002,0842852197763
1003,0005033000089
1004,0889645780115
1005,0191972316623
1006,0889623000136
1007,7640178033702
1008,0888341572765
1009,0610934314724
1010,0610934247107
1011,0610934076080
1012,0610934076028
1013,0610934157888
1014,0610934228656
1015,0610934228663
1016,0886608795735
1017,0886608795742
1018,0886608795759
1019,0716736143217
1020,0193128098315
1021,0193128098322
1022,0193128098339
1023,0193128098346
1024,0193128098353
1025,0193128098360
1026,0193128098377
1027,0193128098384
1028,0886745463542
1029,0729998994428
1030,0729998356851
1031,0729998356868
1032,0729998356875
1033,0842852197626
1034,0842852165762
1035,0888259810164
1036,0888259810171
1037,0888259810188
1038,0842852198012
1039,0842852189195
1040,0842852149755
1041,0842852197992
1042,0889623015277
1043,0889623015307
1044,0889623015758
1045,0889262843118
1046,0889262843125
1047,0889262842968
1048,0889262842975
1049,0193128097127
1050,0828570642365
1051,0828570642372
1052,0828570498191
1053,0828570498207
1054,0828570498214
1055,0828570749484
1056,0828570749491
1057,0828570749507
1058,0610934336573
1059,0610934336542
1060,0610934336566
1061,0888341574868
1062,0822369361581
1063,0822369361598
1064,0821301179963
1065,0821301179970
1066,0821301179987
1067,0634741801604
1068,0828570442620
1069,0828570442637
1070,0828570442644
1071,0715757450908
1072,0716736267401
1073,0715757575168
1074,0715757575175
1075,0715757571153
1076,0808216452503
1077,0808216452510
1078,0808216452527
1079,0808216452411
1080,0808216452428
1081,0808216452435
1082,0192820046952
1083,0192820046969
1084,0192820047072
1085,0192820261409
1086,0192820261430
1087,0192820261447
1088,0192820047034
1089,0192820046990
1090,0192820047003
1091,0190450678383
1092,0889143783960
1093,0780392037876
1094,0806806409524
1095,0842357150201
1096,0192820057873
1097,0610934109634
1098,0191972297328
1099,0888341475165
1100,0768686250897
1101,0768686250903
1102,0768686250910
1103,0768686250927
1104,0768686250941
1105,0768686250958
1106,0768686250965
1107,0632059285628
1108,0888392443847
1109,0715757525705
1110,0716736185705
1111,0888392443946
1112,0628306322284
1113,0628306322277
1114,0628306322291
1115,0716736157498
1116,0716736157528
1117,0716736169095
1118,0192499030382
1119,0192499030399
1120,0192499030375
1121,9329295466034
1122,0648478796676
1123,0847678117124
1124,0054065646567
1125,0842852195066
1126,0610934313642
1127,0610934313611
1128,0821301188408
1129,0821301188415
1130,0821301188422
1131,0729998343004
1132,0729998357292
1133,0729998360797
1134,0610934160802
1135,0889588801946
1136,0889588802844
1137,0889588803117
1138,0889588803254
1139,0190450413274
1140,0192363227856
1141,0192363206219
1142,0192363206110
1143,0887445184409
1144,0887445184416
1145,0190107317078
1146,0842852149700
1147,0842852149694
1148,0842852172876
1149,9329295328004
1150,7325540740418
1151,0643388069728
1152,0888392376978
1153,0193395059422
1154,0888392335401
1155,0191015032275
1156,0090897110869
1157,0090897111088
1158,0090897111071
1159,0090897110852
1160,7045951479218
1161,0889645933511
1162,0889645933528
1163,0889645933535
1164,0889645933559
1165,0886895306287
1166,0192828495943
1167,0192828496087
1168,0192828496049
1169,0192828496070
1170,0888392405708
1171,0884805075957
1172,0884805075933
1173,0190450220223
1174,0716736149028
1175,0192636068063
1176,0192636068056
1177,0886895395434
1178,0800881501913
1179,0800881501531
1180,0800881501548
1181,0800881501555
1182,0190450226157
1183,0190450226201
1184,0828570636289
1185,0828570636296
1186,0888392332387
1187,0194115237649
1188,0194115237700
1189,0194115237762
1190,0748610371768
1191,0634741800034
1192,0886745775997
1193,0886745775041
1194,0729998359821
1195,0729998359791
1196,0828570642075
1197,0828570642082
1198,0828570642099
1199,0888423790452
1200,0888423790469
1201,0888423790476
1202,0888392411402
1203,0715757413873
1204,0883295207572
1205,0883295207589
1206,0888392329134
1207,0886745680512
1208,0842852189522
1209,0715757490683
1210,0715757490676
1211,0715757490669
1212,0715757490652
1213,0715757528232
1214,0715757528218
1215,0715757490706
1216,0888341677187
1217,0886745811466
1218,0191972308284
1219,0888341470689
1220,0881862647561
1221,0886608363156
1222,0716736205830
1223,0610934301229
1224,0610934301243
1225,0610934301212
1226,0610934301236
1227,0889645806914
1228,0889645806921
1229,0889645806907
1230,3607682425410
1231,3607682425427
1232,3607682425434
1233,3607682425441
1234,3607682425403
1235,0715757413897
1236,0842852197466
1237,0842852197435
1238,0889262788532
1239,0889262788549
1240,0889262788389
1241,0889262788396
1242,0889262788402
1243,0889262788426
1244,0889262788433
1245,0817866019370
1246,0661787868513
1247,0661787869343
1248,0817866010759
1249,0661787868537
1250,0661787868544
1251,0661787868599
1252,0193573072960
1253,0193573072977
1254,0193573072984
1255,0889645806792
1256,0889645806808
1257,0889645806815
1258,0889645806785
1259,0888392174581
1260,0748610368935
1261,0886895304931
1262,0610934246353
1263,0610934246384
1264,0193128097257
1265,0659641986015
1266,0768686052484
1267,0768686052569
1268,0768686139284
1269,0190472121669
1270,0190472121676
1271,0679370640415
1272,0886608640622
1273,0886608640639
1274,0886608640646
1275,0190450263602
1276,0889049880091
1277,0886608590705
1278,0886608590712
1279,0886608590729
1280,0054065610384
1281,0643388169541
1282,0888392406781
1283,0190450220872
1284,0889645659848
1285,0889645659855
1286,0889645659862
1287,0889645659879
1288,0889645659886
1289,0886608837060
1290,0886608837077
1291,0886608837084
1292,0888376876654
1293,0888376876661
1294,0888376876685
1295,0888376876692
1296,0888376876708
1297,0828570534110
1298,0828570534127
1299,0828570534134
1300,0190107312004
1301,0190107311991
1302,0817866010629
1303,0661787865482
1304,0661787865499
1305,0888392425799
1306,0748610389435
1307,0716736147833
1308,0886895405751
1309,0885622241907
1310,0764824011559
1311,0659641986008
1312,0610934249125
1313,0715757573904
1314,0888392264091
1315,0828570552688
1316,0828570552701
1317,0828570552725
1318,0828570552732
1319,0768686228711
1320,0716736168869
1321,0889667302944
1322,0715757482589
1323,0808216479906
1324,0808216479913
1325,0808216479920
1326,0808216479937
1327,0808216479944
1328,0886888844604
1329,0886745840657
1330,0886745840404
1331,0886745840503
1332,0810033080470
1333,0810033080487
1334,0610934187991
1335,0887445149439
1336,0887445149606
1337,0716736101910
1338,0768686228704
1339,8050440122116
1340,8050440122130
1341,0887445145875
1342,0887445177463
1343,0887445146131
1344,0887445146117
1345,0886745773894
1346,0886745773962
1347,0886745773504
1348,0886745773597
1349,0886745773795
1350,0886745773771
1351,0886745773450
1352,0886745825302
1353,0659641514201
1354,0659641514232
1355,0659641514263
1356,0659641560468
1357,0659641560475
1358,0659641560499
1359,0659641514225
1360,0659641514195
1361,0659641514256
1362,0817318022590
1363,0810911035158
1364,0716736147949
1365,0889262703955
1366,0889262704037
1367,0889262704075
1368,0889262703436
1369,0889262703511
1370,0889262703597
1371,0888259813288
1372,0610934248517
1373,0715757409739
1374,0823233840423
1375,0823233842137
1376,0823233842144
1377,0823233846104
1378,0720074018649
1379,0720074018694
1380,0720074018748
1381,0720074018793
1382,0720074018847
1383,0634741810729
1384,0886895395861
1385,0886895241434
1386,0716736186009
1387,0793597780232
1388,0793597780300
1389,0793597780331
1390,0793597780324
1391,0793597780317
1392,0846490021015
1393,0846490029370
1394,0846490021022
1395,0054065617772
1396,0610934313833
1397,0886608935605
1398,0886608935612
1399,0886608935629
1400,0190450696448
1401,0190450696462
1402,0886608957287
1403,0886608957294
1404,0886608957300
1405,0191839079258
1406,0793597779281
1407,0886608307679
1408,0645397932369
1409,0793597778802
1410,0886608808084
1411,0886608808091
1412,0886608808107
1413,0076484179921
1414,0190450229110
1415,0054065637404
1416,0192825012174
1417,0192825012372
1418,0847678120940
1419,0008466630366
1420,0190450294460
1421,0888392334886
1422,3607682693444
1423,3607682693451
1424,3607682693468
1425,0887850977672
1426,0716736099323
1427,0716736099316
1428,0735781036596
1429,0886745833246
1430,0857664008084
1431,0609408986185
1432,0609408965388
1433,0609408965395
1434,3607682870173
1435,3607682870197
1436,3607682870159
1437,3607682870210
1438,0842852147836
1439,0842852187221
1440,0842852188242
1441,0716736147802
1442,0888392334367
1443,0194116304838
1444,0194116304661
1445,0194116305224
1446,0194116304913
1447,0194116305361
1448,0194116305422
1449,0194116305309
1450,0194116305460
1451,0720074027535
1452,0720074027580
1453,0720074027634
1454,0720074027689
1455,0720074027689
1456,0720074028389
1457,0888259763477
1458,0888259763484
1459,0634741807460
1460,0886895398459
1461,0888423807921
1462,0888423807938
1463,0888423807945
1464,0888423807952
1465,0715757482541
1466,0190107088466
1467,0192363206288
1468,0192363258102
1469,0192363244815
1470,0192363272146
1471,0817866019615
1472,0661787865680
1473,0817866019493
1474,0661787868346
1475,0661787865703
1476,0661787865710
1477,0828570412821
1478,0828570412838
1479,0828570412845
1480,0022099745877
1481,0888655941875
1482,0805538655049
1483,0883121980976
1484,0886608904854
1485,0886608904861
1486,0886608904878
1487,0842852196117
1488,0659641977181
1489,0192825081422
1490,0192826004239
1491,0192826003737
1492,0192826004734
1493,0729998358398
1494,0729998358381
1495,0193573087131
1496,0193573087148
1497,0193573087155
1498,0888392225245
1499,0888392279965
1500,4250423602343
1501,7325540987806
1502,7332522089502
1503,7332522089519
1504,0716736186078
1505,0828570627171
1506,0828570627188
1507,0828570627195
1508,0886745831891
1509,0886745833888
1510,0886745831839
1511,0610934250008
1512,0610934316698
1513,0729998323464
1514,0810497021521
1515,0810497023181
1516,7640178035683
1517,7640178035690
1518,0716736103686
1519,0888392404794
1520,0810911030221
1521,0810911030252
1522,0810911030238
1523,0810911034052
1524,0885075575857
1525,7630050436233
1526,7630050436257
1527,7630050436271
1528,0821301200742
1529,0888259821658
1530,0888259821665
1531,3607681619070
1532,3607681619094
1533,3607682191865
1534,3607682191889
1535,0716736147963
1536,0716736142845
1537,0888392337221
1538,0715757579197
1539,5060145694378
1540,5060145692961
1541,0757969573884
1542,0610934279108
1543,0610934279115
1544,0194114225371
1545,0194114225357
1546,0194114225432
1547,0715757577643
1548,0715757577599
1549,0715757577612
1550,0193172104895
1551,0193172104871
1552,0810911035141
1553,0810911035127
1554,0805538666441
1555,3607682462613
1556,3607682462637
1557,3607682462675
1558,0828570441746
1559,0828570441753
1560,0828570441760
1561,0610934241969
1562,0886745677826
1563,0191972168802
1564,0191972168819
1565,0191972168826
1566,0190450715668
1567,0822369402260
1568,0822369402277
1569,0822369402284
1570,0822369402291
1571,0886608623618
1572,0886608646341
1573,0886608646365
1574,0886745831556
1575,0886745831228
1576,0886745831297
1577,0886745831938
1578,0886745831624
1579,0889819575547
1580,0847678133865
1581,0847678133872
1582,0847678133858
1583,0847678133841
1584,0889667433952
1585,0715757485580
1586,0190450576863
1587,0190450576870
1588,0190450626490
1589,0886608904717
1590,0886608904724
1591,0886608904731
1592,0886608904748
1593,0194114227191
1594,0194114227252
1595,0194114227306
1596,0888392334350
1597,0193172127283
1598,0193172127306
1599,0748610373465
1600,0609408944376
1601,0609408944390
1602,0805538666533
1603,0889623869436
1604,0889623869467
1605,0888392279606
1606,0888392238931
1607,0768686058769
1608,0842852168008
1609,0842852177369
1610,0842852197473
1611,7640170243406
1612,0610934314984
1613,7640178035423
1614,7640178035393
1615,0190450263312
1616,0190450576566
1617,0190450576559
1618,4973007632894
1619,4973007632917
1620,4973007632924
1621,4973007632931
1622,4973007632948
1623,4973007632955
1624,4973007632962
1625,0886745832539
1626,0886745832126
1627,0886745833765
1628,0886745833550
1629,3607682462859
1630,3607682462873
1631,4250423603036
1632,0191839053241
1633,0191839053111
1634,0191839053142
1635,0191839053210
1636,0191839053098
1637,4028173763825
1638,4028173763832
1639,4028173763856
1640,4028173763962
1641,4028173763986
1642,4028173764051
1643,4028173763955
1644,7325540744775
1645,0886895313452
1646,0886895313445
1647,0888341795423
1648,0888341795447
1649,8050459795462
1650,0800559081648
1651,0022099745129
1652,0022099745129
1653,0610934277173
1654,0610934277050
1655,0610934277135
1656,0193573001946
1657,0193573001953
1658,0887188606947
1659,0887188606954
1660,0022099745136
1661,0022099745136
1662,0888392411372
1663,0604352017633
